x,y,z
-1.866,-0.626,2.237
-1.863,-0.675,2.234
-1.863,-0.475,2.233
-1.864,-0.28,2.234
-1.861,-0.524,2.231
-1.862,-0.124,2.232
-1.864,0.098,2.232
-1.863,0.116,2.232
-1.862,-0.426,2.232
-1.861,-0.226,2.231
-1.861,-0.328,2.231
-1.862,-0.094,2.231
-1.86,-0.171,2.229
-1.86,-0.377,2.23
-1.853,-0.704,2.223
-1.821,-0.713,2.216
-1.844,0.92,2.251
-1.838,1.072,2.244
-1.84,0.927,2.247
-1.836,1.225,2.241
-1.836,0.779,2.242
-1.838,1.128,2.243
-1.837,1.176,2.242
-1.839,0.878,2.245
-1.836,0.976,2.241
-1.836,0.577,2.243
-1.834,1.281,2.238
-1.834,0.676,2.24
-1.834,0.83,2.24
-1.832,1.021,2.237
-1.83,-0.571,2.24
-1.832,0.625,2.237
-1.825,-0.52,2.234
-1.827,0.724,2.232
-1.831,0.097,2.239
-1.831,0.115,2.238
-1.825,-0.675,2.234
-1.828,0.543,2.234
-1.826,-0.619,2.235
-1.824,-0.277,2.232
-1.823,-0.373,2.231
-1.825,-0.422,2.234
-1.824,-0.325,2.232
-1.817,1.312,2.219
-1.824,-0.471,2.232
-1.824,-0.23,2.232
-1.823,-0.176,2.23
-1.82,-0.122,2.227
-1.813,-0.092,2.218
-1.776,1.238,2.254
-1.78,1.156,2.252
-1.778,1.276,2.246
-1.772,1.026,2.246
-1.787,0.872,2.247
-1.782,1.213,2.246
-1.776,1.181,2.247
-1.786,1.071,2.246
-1.783,1.116,2.244
-1.775,0.976,2.246
-1.774,0.922,2.245
-1.773,0.725,2.242
-1.773,0.574,2.246
-1.776,0.772,2.244
-1.775,0.827,2.244
-1.787,0.625,2.24
-1.776,0.525,2.242
-1.774,-0.474,2.242
-1.771,0.678,2.242
-1.786,1.311,2.183
-1.77,1.313,2.235
-1.77,-0.319,2.242
-1.77,-0.428,2.239
-1.766,-0.373,2.242
-1.766,-0.574,2.241
-1.768,-0.277,2.239
-1.769,-0.53,2.237
-1.78,0.096,2.233
-1.78,0.113,2.233
-1.771,-0.179,2.236
-1.768,-0.676,2.24
-1.769,-0.628,2.237
-1.77,-0.223,2.236
-1.766,-0.123,2.236
-1.777,-0.092,2.231
-1.776,-0.719,2.178
-1.764,-0.711,2.227
-1.766,1.133,2.257
-1.762,1.082,2.253
-1.763,1.257,2.253
-1.76,0.629,2.252
-1.761,0.882,2.252
-1.76,0.792,2.251
-1.759,0.537,2.251
-1.76,0.66,2.251
-1.759,0.811,2.25
-1.757,-0.34,2.251
-1.75,1.299,2.143
-1.718,-0.125,2.235
-1.713,-0.272,2.234
-1.718,-0.662,2.234
-1.712,-0.419,2.232
-1.72,-0.174,2.235
-1.72,-0.228,2.235
-1.719,-0.475,2.235
-1.737,-0.728,2.229
-1.718,-0.619,2.234
-1.727,-0.091,2.236
-1.718,-0.519,2.235
-1.728,1.325,2.233
-1.723,1.308,2.129
-1.732,1.311,2.173
-1.724,-0.726,2.17
-1.727,1.225,2.254
-1.727,1.176,2.253
-1.726,1.267,2.252
-1.725,1.12,2.252
-1.724,0.906,2.251
-1.72,-0.713,2.114
-1.724,0.985,2.25
-1.72,0.974,2.246
-1.723,1.132,2.249
-1.723,0.765,2.25
-1.722,1.293,2.248
-1.722,0.773,2.248
-1.721,0.873,2.248
-1.719,0.93,2.245
-1.72,1.076,2.246
-1.719,0.821,2.245
-1.717,1.027,2.243
-1.716,0.523,2.242
-1.714,0.681,2.24
-1.714,0.571,2.24
-1.714,0.724,2.239
-1.713,0.625,2.239
-1.709,1.31,2.097
-1.708,-0.328,2.235
-1.705,-0.374,2.232
-1.705,-0.577,2.232
-1.673,-0.731,2.178
-1.683,-0.673,2.234
-1.697,1.314,2.083
-1.681,1.268,2.255
-1.669,1.234,2.255
-1.672,1.131,2.256
-1.677,-0.713,2.227
-1.679,1.163,2.254
-1.671,0.959,2.251
-1.689,0.86,2.252
-1.689,1.096,2.251
-1.688,1.212,2.249
-1.666,1.179,2.249
-1.688,1.042,2.25
-1.674,1.02,2.247
-1.687,1.108,2.248
-1.672,0.982,2.247
-1.684,0.883,2.246
-1.679,0.926,2.239
-1.677,1.065,2.247
-1.683,0.574,2.245
-1.682,0.52,2.244
-1.683,1.3,2.243
-1.675,0.775,2.244
-1.682,-0.715,2.072
-1.681,0.627,2.242
-1.682,0.49,2.244
-1.673,0.673,2.241
-1.679,0.824,2.24
-1.672,0.719,2.24
-1.676,-0.222,2.239
-1.674,-0.274,2.237
-1.675,-0.425,2.239
-1.676,-0.084,2.239
-1.675,-0.176,2.237
-1.675,-0.124,2.238
-1.674,-0.621,2.238
-1.674,-0.573,2.237
-1.674,-0.372,2.237
-1.672,-0.325,2.234
-1.672,-0.525,2.235
-1.67,-0.477,2.233
-1.671,1.298,2.102
-1.662,-0.774,2.14
-1.669,-0.72,2.106
-1.663,-0.83,2.141
-1.659,-0.717,2.045
-1.654,0.637,2.253
-1.653,0.942,2.251
-1.652,0.655,2.251
-1.65,1.277,2.246
-1.625,0.774,2.248
-1.649,1.084,2.245
-1.624,1.026,2.244
-1.62,0.623,2.246
-1.629,0.88,2.244
-1.647,-0.767,2.121
-1.618,0.921,2.242
-1.614,0.978,2.245
-1.628,0.824,2.244
-1.628,0.729,2.246
-1.622,1.221,2.246
-1.624,0.575,2.245
-1.619,0.678,2.245
-1.625,0.524,2.244
-1.623,-0.525,2.241
-1.646,-0.692,1.993
-1.626,-0.575,2.242
-1.637,-0.71,1.982
-1.632,-0.125,2.243
-1.631,-0.089,2.244
-1.623,-0.733,2.175
-1.619,0.484,2.241
-1.623,-0.377,2.242
-1.624,-0.275,2.241
-1.619,-0.325,2.242
-1.627,-0.422,2.24
-1.632,-0.626,2.24
-1.623,-0.174,2.243
-1.617,-0.475,2.24
-1.622,-0.225,2.242
-1.637,-0.676,2.236
-1.636,-0.717,2.068
-1.632,-0.722,2.229
-1.614,-0.736,2.143
-1.614,1.078,2.254
-1.613,1.122,2.254
-1.613,1.213,2.254
-1.612,1.177,2.252
-1.612,-0.718,2.039
-1.611,0.857,2.252
-1.61,1.128,2.249
-1.61,0.782,2.25
-1.601,-0.717,1.942
-1.579,-0.127,2.243
-1.578,-0.624,2.242
-1.574,-0.574,2.244
-1.582,-0.718,2.238
-1.577,-0.429,2.244
-1.575,-0.088,2.242
-1.578,-0.283,2.242
-1.574,-0.524,2.245
-1.582,-0.674,2.242
-1.572,-0.732,2.171
-1.571,-0.727,2.083
-1.581,1.13,2.258
-1.582,1.097,2.259
-1.578,1.175,2.253
-1.577,0.813,2.253
-1.576,-0.227,2.255
-1.577,0.894,2.253
-1.578,1.202,2.253
-1.577,0.919,2.252
-1.577,0.578,2.253
-1.576,0.679,2.253
-1.577,-0.263,2.257
-1.575,-0.178,2.254
-1.576,0.543,2.253
-1.576,0.623,2.252
-1.569,-0.715,1.989
-1.575,0.775,2.251
-1.571,0.979,2.244
-1.575,1.213,2.249
-1.573,1.065,2.247
-1.573,0.774,2.247
-1.571,0.725,2.245
-1.574,0.63,2.249
-1.572,0.512,2.248
-1.572,0.942,2.246
-1.573,0.654,2.249
-1.572,0.841,2.246
-1.572,1.025,2.246
